season,week_ending,age_category,data_type,estimate
2018-19,2018-12-01,5-17 yr,Weekly Rate,0.3
2018-19,2018-12-01,Overall,Cumulative Rate,2.0
2018-19,2018-12-01,30-39 yr,Weekly Rate,0.3
2018-19,2018-12-01,18-29 yr,Weekly Rate,0.3
2018-19,2018-12-01,5-17 yr,Cumulative Rate,1.0
2018-19,2018-12-01,30-39 yr,Cumulative Rate,1.0
2018-19,2018-12-01,5-11 yr,Cumulative Rate,1.0
2018-19,2018-12-01,50-64 yr,Cumulative Rate,2.0
2018-19,2018-12-01,Overall,Weekly Rate,0.6
2018-19,2018-12-01,18-49 yr,Weekly Rate,0.3
2018-19,2018-12-01,5-11 yr,Weekly Rate,0.3
2018-19,2018-12-01,50-64 yr,Weekly Rate,0.6
2018-19,2018-12-01,65+ yr,Weekly Rate,1.4
2018-19,2018-12-01,Adults,Weekly Rate,0.6
2018-19,2018-12-01,65+ yr,Cumulative Rate,5.0
2018-19,2018-12-01,Pediatrics,Cumulative Rate,2.0
2018-19,2018-12-01,0-4 yr,Weekly Rate,1.3
2018-19,2018-12-01,0-<1 yr,Weekly Rate,2.3
2018-19,2018-12-01,85+ yr,Weekly Rate,2.6
2018-19,2018-12-01,Pediatrics,Weekly Rate,0.6
2018-19,2018-12-01,12-17 yr,Cumulative Rate,1.0
2018-19,2018-12-01,40-49 yr,Cumulative Rate,1.0
2018-19,2018-12-01,0-4 yr,Cumulative Rate,4.0
2018-19,2018-12-01,75+ yr,Cumulative Rate,7.0
2018-19,2018-12-01,18-49 yr,Cumulative Rate,1.0
2018-19,2018-12-01,18-29 yr,Cumulative Rate,1.0
2018-19,2018-12-01,12-17 yr,Weekly Rate,0.3
2018-19,2018-12-01,75+ yr,Weekly Rate,1.9
2018-19,2018-12-01,65-74 yr,Cumulative Rate,4.0
2018-19,2018-12-01,0-<1 yr,Cumulative Rate,7.0
2018-19,2018-12-08,40-49 yr,Cumulative Rate,2.0
2018-19,2018-12-08,65-74 yr,Weekly Rate,1.6
2018-19,2018-12-08,5-17 yr,Weekly Rate,0.3
2018-19,2018-12-08,12-17 yr,Weekly Rate,0.1
2018-19,2018-12-08,75+ yr,Cumulative Rate,8.0
2018-19,2018-12-08,30-39 yr,Cumulative Rate,1.0
2018-19,2018-12-08,Adults,Weekly Rate,0.7
2018-19,2018-12-08,85+ yr,Cumulative Rate,13.0
2018-19,2018-12-08,1-4 yr,Weekly Rate,1.9
2018-19,2018-12-08,30-39 yr,Weekly Rate,0.3
2018-19,2018-12-08,0-4 yr,Cumulative Rate,6.0
2018-19,2018-12-08,1-4 yr,Cumulative Rate,5.0
2018-19,2018-12-08,75-84 yr,Cumulative Rate,7.0
2018-19,2018-12-08,Overall,Cumulative Rate,3.0
2018-19,2018-12-08,75-84 yr,Weekly Rate,1.6
2018-19,2018-12-08,Pediatrics,Cumulative Rate,2.0
2018-19,2018-12-08,18-49 yr,Cumulative Rate,1.0
2018-19,2018-12-08,18-29 yr,Weekly Rate,0.3
2018-19,2018-12-08,18-49 yr,Weekly Rate,0.3
2018-19,2018-12-08,Adults,Cumulative Rate,3.0
2018-19,2018-12-08,85+ yr,Weekly Rate,2.0
2018-19,2018-12-08,0-<1 yr,Weekly Rate,1.7
2018-19,2018-12-08,5-11 yr,Cumulative Rate,2.0
2018-19,2018-12-08,5-17 yr,Cumulative Rate,1.0
2018-19,2018-12-08,Pediatrics,Weekly Rate,0.7
2018-19,2018-12-08,65-74 yr,Cumulative Rate,5.0
2018-19,2018-12-08,12-17 yr,Cumulative Rate,1.0
2018-19,2018-12-08,50-64 yr,Weekly Rate,0.8
2018-19,2018-12-08,Overall,Weekly Rate,0.7
2018-19,2018-12-08,0-4 yr,Weekly Rate,1.9
2018-19,2018-12-08,18-29 yr,Cumulative Rate,1.0
2018-19,2018-12-08,65+ yr,Cumulative Rate,6.0
2018-19,2018-12-08,40-49 yr,Weekly Rate,0.3
2018-19,2018-12-08,75+ yr,Weekly Rate,1.7
2018-19,2018-12-08,5-11 yr,Weekly Rate,0.5
2018-19,2018-12-08,0-<1 yr,Cumulative Rate,8.0
2018-19,2018-12-08,65+ yr,Weekly Rate,1.6
2018-19,2018-12-08,50-64 yr,Cumulative Rate,3.0
2018-19,2018-12-15,5-11 yr,Cumulative Rate,2.0
2018-19,2018-12-15,18-49 yr,Weekly Rate,0.5
2018-19,2018-12-15,65-74 yr,Cumulative Rate,7.0
2018-19,2018-12-15,65+ yr,Cumulative Rate,9.0
2018-19,2018-12-15,40-49 yr,Cumulative Rate,2.0
2018-19,2018-12-15,85+ yr,Weekly Rate,4.4
2018-19,2018-12-15,1-4 yr,Cumulative Rate,8.0
2018-19,2018-12-15,18-49 yr,Cumulative Rate,2.0
2018-19,2018-12-15,30-39 yr,Weekly Rate,0.5
2018-19,2018-12-15,Pediatrics,Weekly Rate,1.4
2018-19,2018-12-15,50-64 yr,Weekly Rate,1.7
2018-19,2018-12-15,65+ yr,Weekly Rate,2.4
2018-19,2018-12-15,5-17 yr,Cumulative Rate,2.0
2018-19,2018-12-15,0-4 yr,Cumulative Rate,9.0
2018-19,2018-12-15,30-39 yr,Cumulative Rate,2.0
2018-19,2018-12-15,Adults,Weekly Rate,1.1
2018-19,2018-12-15,Pediatrics,Cumulative Rate,4.0
2018-19,2018-12-15,0-<1 yr,Weekly Rate,4.4
2018-19,2018-12-15,5-17 yr,Weekly Rate,0.8
2018-19,2018-12-15,0-<1 yr,Cumulative Rate,13.0
2018-19,2018-12-15,75+ yr,Cumulative Rate,11.0
2018-19,2018-12-15,0-4 yr,Weekly Rate,3.0
2018-19,2018-12-15,18-29 yr,Cumulative Rate,2.0
2018-19,2018-12-15,85+ yr,Cumulative Rate,17.0
2018-19,2018-12-15,75+ yr,Weekly Rate,2.8
2018-19,2018-12-15,Adults,Cumulative Rate,4.0
2018-19,2018-12-15,65-74 yr,Weekly Rate,2.1
2018-19,2018-12-15,12-17 yr,Weekly Rate,0.7
2018-19,2018-12-15,1-4 yr,Weekly Rate,2.6
2018-19,2018-12-15,Overall,Cumulative Rate,4.0
2018-19,2018-12-15,18-29 yr,Weekly Rate,0.5
2018-19,2018-12-15,75-84 yr,Cumulative Rate,9.0
2018-19,2018-12-15,12-17 yr,Cumulative Rate,1.0
2018-19,2018-12-15,Overall,Weekly Rate,1.2
2018-19,2018-12-15,75-84 yr,Weekly Rate,2.2
2018-19,2018-12-15,50-64 yr,Cumulative Rate,5.0
2018-19,2018-12-15,5-11 yr,Weekly Rate,0.8
2018-19,2018-12-15,40-49 yr,Weekly Rate,0.6
2018-19,2018-12-22,1-4 yr,Cumulative Rate,11.0
2018-19,2018-12-22,Pediatrics,Weekly Rate,2.0
2018-19,2018-12-22,30-39 yr,Weekly Rate,1.2
2018-19,2018-12-22,Overall,Cumulative Rate,6.0
2018-19,2018-12-22,12-17 yr,Weekly Rate,0.8
2018-19,2018-12-22,75-84 yr,Cumulative Rate,15.0
2018-19,2018-12-22,1-4 yr,Weekly Rate,3.6
2018-19,2018-12-22,5-17 yr,Cumulative Rate,3.0
2018-19,2018-12-22,18-29 yr,Cumulative Rate,2.0
2018-19,2018-12-22,Adults,Weekly Rate,1.9
2018-19,2018-12-22,50-64 yr,Cumulative Rate,7.0
2018-19,2018-12-22,5-11 yr,Cumulative Rate,4.0
2018-19,2018-12-22,5-11 yr,Weekly Rate,1.9
2018-19,2018-12-22,18-49 yr,Cumulative Rate,3.0
2018-19,2018-12-22,65+ yr,Weekly Rate,4.3
2018-19,2018-12-22,0-<1 yr,Weekly Rate,4.7
2018-19,2018-12-22,75+ yr,Weekly Rate,5.9
2018-19,2018-12-22,85+ yr,Cumulative Rate,23.0
2018-19,2018-12-22,30-39 yr,Cumulative Rate,3.0
2018-19,2018-12-22,0-4 yr,Cumulative Rate,12.0
2018-19,2018-12-22,0-4 yr,Weekly Rate,3.8
2018-19,2018-12-22,65-74 yr,Cumulative Rate,10.0
2018-19,2018-12-22,65-74 yr,Weekly Rate,3.2
2018-19,2018-12-22,65+ yr,Cumulative Rate,13.0
2018-19,2018-12-22,18-49 yr,Weekly Rate,1.1
2018-19,2018-12-22,Overall,Weekly Rate,1.9
2018-19,2018-12-22,40-49 yr,Cumulative Rate,4.0
2018-19,2018-12-22,85+ yr,Weekly Rate,6.0
